"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","Average data transfer/epoch (MB): ","Average dismissal rate: ","PC: ","autoencoder","batch_size","blending_factor","data_poisoning_method","data_poisoning_prob","detect_anomalies","detection_params.method","detection_params.pooling","detection_params.split","detection_scheduler","detection_similarity","detection_start","detection_tau","detection_tolerance","detection_window","label_flipping_prob","learning_rate","nr_clients","num_malicious","total_MegaFLOPS model","total_MegaFLOPS","total_MegaFLOPS_backprob","total_MegaFLOPS_encoder","total_MegaFLOPS_forward","AUC_test.max","AUC_train","AUC_val.max","AUPRC_test","AUPRC_test.max","AUPRC_train","AUPRC_val","AUPRC_val.max","Accuracy_det.min","Accuracy_test.max","Accuracy_train","Accuracy_val.max","F1_det","F1_det.max","F1_det.min","F1_test.max","F1_train","F1_val","F1_val.max","FN_det","FN_det.min","FP_det","FP_det.min","Loss_test","Loss_val","dropout_threshold"
"earnest-sweep-160","cdu364xr","finished","-","mohkoh","","2023-06-30T12:11:09.000Z","886","25awttmq","172.237856","0","2","1","64","0","flat","0","true","similarity","average","knn_10_euclidean","false","cosine","3","0.9","5","5","0.5","0.001","10","10","0","0","0","0","0","0.673784613609314","0.6568045616149902","0.679202139377594","","0.38874468207359314","0.4143228232860565","","0.3960381746292114","","0.7316960096359253","0.7295833230018616","0.7412418723106384","","0.8235294117647058","","0.3487063944339752","0.34078213572502136","","0.3898580074310303","","3","","0","0.5421819308561638","0.5401859326538017","0.012953727530695873"
"whole-sweep-159","cdu364xr","finished","-","mohkoh","","2023-06-30T11:53:44.000Z","1062","25awttmq","184.54056","0","2","1","64","0","flat","0","true","similarity","average","knn_10_euclidean","false","cosine","3","0.9","5","5","0.5","0.001","10","8","0","0","0","0","0","0.6926895380020142","0.6618390679359436","0.7040171027183533","","0.4068663716316223","0.425155907869339","","0.4740250706672669","","0.7380908131599426","0.7322916388511658","0.7441149353981018","","0.5714285714285714","","0.3906856179237366","0.40810686349868774","","0.4133417904376984","","4","","0","0.533978673012091","0.533978673012091","0.009315959345066686"
"toasty-sweep-158","cdu364xr","finished","-","mohkoh","","2023-06-30T11:38:21.000Z","920","25awttmq","178.389208","0","2","1","64","0","flat","0","true","similarity","average","knn_10_euclidean","false","cosine","3","0.9","5","5","0.5","0.001","10","6","0","0","0","0","0","0.6877037882804871","0.6431668996810913","0.7332425117492676","","0.40956008434295654","0.40687277913093567","","0.5143382549285889","","0.7422613501548767","0.7257291674613953","0.7696941494941711","","0.3333333333333333","","0.25701311230659485","0.2618446946144104","","0.41264188289642334","","4","","0","0.5376342485821721","0.5376342485821721","0.009315959345066686"
"eager-sweep-157","cdu364xr","finished","-","mohkoh","","2023-06-30T11:23:21.000Z","896","25awttmq","178.389208","0","2","1","64","0","flat","0","true","similarity","average","knn_10_euclidean","false","cosine","3","0.9","5","5","0.5","0.001","10","4","0","0","0","0","0","0.8398679494857788","0.846579909324646","0.842628538608551","","0.6754752993583679","0.6907784342765808","","0.6795817613601685","","0.8187210559844971","0.8143749833106995","0.8187210559844971","","0.8888888888888888","","0.5978618860244751","0.587308943271637","","0.5978618860244751","","0","","0","0.4133716584988687","0.4133716584988687","0.009315959345066686"
"spring-sweep-156","cdu364xr","finished","-","mohkoh","","2023-06-30T11:03:53.000Z","1166","25awttmq","178.389208","0","2","1","64","0","flat","0","true","similarity","average","knn_10_euclidean","false","cosine","3","0.9","5","5","0.5","0.001","10","2","0","0","0","0","0","0.8420138359069824","0.8456305861473083","0.8484665751457214","","0.677276074886322","0.676173210144043","","0.6892266869544983","","0.8212233781814575","0.8167708516120911","0.8241890668869019","","0.8","","0.6002072095870972","0.587573230266571","","0.6123033165931702","","0","","0","0.4122431712880082","0.41451148369173696","0.009315959345066686"
"robust-sweep-155","cdu364xr","finished","-","mohkoh","","2023-06-30T10:47:35.000Z","991","25awttmq","178.389208","0","2","1","64","0","flat","0","true","similarity","average","knn_10_euclidean","false","cosine","3","0.9","5","3","0.5","0.001","10","10","0","0","0","0","0","0.6754868030548096","0.6581630706787109","0.6904464364051819","","0.389477014541626","0.426476538181305","","0.43292638659477234","","0.7220574617385864","0.734375","0.7400370836257935","","0.75","","0.3925460577011109","0.4323241412639618","","0.39820483326911926","","4","","0","0.5422630565233564","0.5422630565233564","0.009315959345066686"
"dainty-sweep-154","cdu364xr","finished","-","mohkoh","","2023-06-30T10:30:40.000Z","1032","25awttmq","178.38920806666667","0","2","1","64","0","flat","0","true","similarity","average","knn_10_euclidean","false","cosine","3","0.9","5","3","0.5","0.001","10","8","0","0","0","0","0","0.6783741116523743","0.6341570615768433","0.6893898248672485","","0.3797276914119721","0.3945165276527405","","0.43923091888427734","","0.7392029762268066","0.721666693687439","0.7526413202285767","","0.5714285714285714","","0.000710227235686034","0.18882817029953003","","0.4005998075008392","","4","","0","0.5415272377417311","0.5415272377417311","0.009315959345066686"
"stilted-sweep-153","cdu364xr","finished","-","mohkoh","","2023-06-30T10:13:15.000Z","1041","25awttmq","172.237856","0","2","1","64","0","flat","0","true","similarity","average","knn_10_euclidean","false","cosine","3","0.9","5","3","0.5","0.001","10","6","0","0","0","0","0","0.6810847520828247","0.6478415131568909","0.7249553799629211","","0.43278899788856506","0.4112966060638428","","0.5171558856964111","","0.7561631202697754","0.7292708158493042","0.7737720012664795","","0.3636363636363637","","0.26936963200569153","0.30674847960472107","","0.4181169271469116","","4","","0","0.5376586518639845","0.5376586518639845","0.009315959345066686"
"toasty-sweep-152","cdu364xr","finished","-","mohkoh","","2023-06-30T09:56:31.000Z","1000","25awttmq","178.389208","0","2","1","64","0","flat","0","true","similarity","average","knn_10_euclidean","false","cosine","3","0.9","5","3","0.5","0.001","10","4","0","0","0","0","0","0.8343983292579651","0.8363506197929382","0.8416635394096375","","0.6658902764320374","0.6619200706481934","","0.6817783713340759","","0.8109360337257385","0.8121874928474426","0.8151065707206726","","1","","0.5665108561515808","0.5677295327186584","","0.5880652666091919","","0","","0","0.41986988592297014","0.41986988592297014","0.009315959345066686"
"smart-sweep-151","cdu364xr","finished","-","mohkoh","","2023-06-30T09:36:53.000Z","1173","25awttmq","178.389208","0","2","1","64","0","flat","0","true","similarity","average","knn_10_euclidean","false","cosine","3","0.9","5","3","0.5","0.001","10","2","0","0","0","0","0","0.839385449886322","0.8394860029220581","0.8473997116088867","","0.6737459897994995","0.6673312783241272","","0.6871311664581299","","0.8182576298713684","0.81229168176651","0.8231695890426636","","0.8","","0.5839167833328247","0.576995313167572","","0.6028310060501099","","0","","0","0.4140377732785228","0.4140377732785228","0.009315959345066686"
