"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","Average data transfer/epoch (MB): ","Average dismissal rate: ","PC: ","autoencoder","batch_size","blending_factor","data_poisoning_method","data_poisoning_prob","detect_anomalies","detection_params.method","detection_params.pooling","detection_params.split","detection_scheduler","detection_similarity","detection_start","detection_tau","detection_tolerance","detection_window","label_flipping_prob","learning_rate","nr_clients","num_malicious","total_MegaFLOPS model","total_MegaFLOPS","total_MegaFLOPS_backprob","total_MegaFLOPS_encoder","total_MegaFLOPS_forward","AUC_test.max","AUC_train","AUC_val.max","AUPRC_test","AUPRC_test.max","AUPRC_train","AUPRC_val","AUPRC_val.max","Accuracy_det.min","Accuracy_test.max","Accuracy_train","Accuracy_val.max","F1_det","F1_det.min","F1_test.max","F1_train","F1_val","F1_val.max","FN_det","FN_det.min","FP_det","FP_det.min","Loss_test","Loss_val","dropout_threshold"
"scarlet-sweep-60","nfabjih4","finished","-","mohkoh","","2023-06-25T07:10:22.000Z","2572","eiatur2m","184.53423","0","2","","","1.5","sinusoidal","1","false","similarity","average","knn_10_euclidean","false","cosine","3","0.8","3","2","0","0.001","10","10","0","0","0","0","0","0.5217074155807495","0.8868624567985535","0.5511362552642822","0.30330362915992737","","0.7568989992141724","0.30330362915992737","","","0.7450417280197144","0.8259375095367432","0.7468952536582947","","","0.06650830805301666","0.5647303462028503","","0.28835412859916687","","","","","0.6292442663576451","0.6292442663576451","0.009315959345066686"
"glamorous-sweep-59","nfabjih4","finished","-","mohkoh","","2023-06-25T06:27:33.000Z","2572","eiatur2m","184.53423013333332","0","2","","","1.5","sinusoidal","1","false","similarity","average","knn_10_euclidean","false","cosine","3","0.8","3","2","0","0.001","10","8","0","0","0","0","0","0.5423485636711121","0.8842150568962097","0.6008794903755188","0.31634509563446045","","0.7516176700592041","0.31634509563446045","","","0.7427247166633606","0.8245833516120911","0.746802568435669","","","0.04996578022837639","0.5431361794471741","","0.3233954608440399","","","","","0.607861790008873","0.607861790008873","0.009315959345066686"
"dashing-sweep-58","nfabjih4","finished","-","mohkoh","","2023-06-25T05:44:37.000Z","2572","eiatur2m","184.53423006666665","0","2","","","1.5","sinusoidal","1","false","similarity","average","knn_10_euclidean","false","cosine","3","0.8","3","2","0","0.001","10","6","0","0","0","0","0","0.7609730362892151","0.747520923614502","0.7809291481971741","0.538303792476654","","0.5144724249839783","0.538303792476654","","","0.7726598978042603","0.7688541412353516","0.7823911309242249","","","0.4160914123058319","0.3467765748500824","","0.4380086362361908","","","","","0.48523430203232976","0.48523430203232976","0.009315959345066686"
"bumbling-sweep-57","nfabjih4","finished","-","mohkoh","","2023-06-25T05:01:52.000Z","2567","eiatur2m","184.53423","0","2","","","1.5","sinusoidal","1","false","similarity","average","knn_10_euclidean","false","cosine","3","0.8","3","2","0","0.001","10","4","0","0","0","0","0","0.8042361736297607","0.7937379479408264","0.81559157371521","0.6141569018363953","","0.5955129861831665","0.6141569018363953","","","0.7941612601280212","0.7904166579246521","0.8012974858283997","","","0.4855223298072815","0.4825102686882019","","0.5360292792320251","","","","","0.450638495323043","0.450638495323043","0.009315959345066686"
"robust-sweep-56","nfabjih4","finished","-","mohkoh","","2023-06-25T04:18:53.000Z","2573","eiatur2m","184.53423013333332","0","2","","","1.5","sinusoidal","1","false","similarity","average","knn_10_euclidean","false","cosine","3","0.8","3","2","0","0.001","10","2","0","0","0","0","0","0.8289045095443726","0.7980200052261353","0.8306159973144531","0.65239417552948","","0.6011241674423218","0.65239417552948","","","0.8069508671760559","0.792395830154419","0.8078776597976685","","","0.5359768867492676","0.5068052411079407","","0.5710774064064026","","","","","0.43095878118590664","0.43095878118590664","0.009315959345066686"
"lively-sweep-55","nfabjih4","finished","-","mohkoh","","2023-06-25T03:36:06.000Z","2571","eiatur2m","184.53423006666665","0","2","","","1.5","sinusoidal","0.75","false","similarity","average","knn_10_euclidean","false","cosine","3","0.8","3","2","0","0.001","10","10","0","0","0","0","0","0.7831692099571228","0.8574166893959045","0.7998157739639282","0.5633630752563477","","0.7182405591011047","0.5633630752563477","","","0.7627432942390442","0.8177083134651184","0.7852641344070435","","","0.22188450396060944","0.5454545021057129","","0.40020495653152466","","","","","0.4902523910173018","0.4902523910173018","0.009315959345066686"
"scarlet-sweep-54","nfabjih4","finished","-","mohkoh","","2023-06-25T02:53:20.000Z","2570","eiatur2m","184.53423006666665","0","2","","","1.5","sinusoidal","0.75","false","similarity","average","knn_10_euclidean","false","cosine","3","0.8","3","2","0","0.001","10","8","0","0","0","0","0","0.7843061685562134","0.7493457794189453","0.7887954711914062","0.5801984071731567","","0.5134826898574829","0.5801984071731567","","","0.7817423343658447","0.7667708396911621","0.7837812900543213","","","0.4072489440441131","0.34011197090148926","","0.4562201201915741","","","","","0.4728239812230959","0.4728239812230959","0.009315959345066686"
"peachy-sweep-53","nfabjih4","finished","-","mohkoh","","2023-06-25T02:10:24.000Z","2571","eiatur2m","184.53423006666665","0","2","","","1.5","sinusoidal","0.75","false","similarity","average","knn_10_euclidean","false","cosine","3","0.8","3","2","0","0.001","10","6","0","0","0","0","0","0.8079660534858704","0.84657883644104","0.8119442462921143","0.617851972579956","","0.6955375671386719","0.617851972579956","","","0.7955514192581177","0.81270831823349","0.8020389080047607","","","0.4437720477581024","0.5482411980628967","","0.49142855405807495","","","","","0.4523401718031613","0.4523401718031613","0.009315959345066686"
"likely-sweep-52","nfabjih4","finished","-","mohkoh","","2023-06-25T01:27:31.000Z","2573","eiatur2m","184.53423","0","2","","","1.5","sinusoidal","0.75","false","similarity","average","knn_10_euclidean","false","cosine","3","0.8","3","2","0","0.001","10","4","0","0","0","0","0","0.8267176151275635","0.8556337356567383","0.8282806873321533","0.6517918109893799","","0.7099894285202026","0.6517918109893799","","","0.8094531893730164","0.8191666603088379","0.8096385598182678","","","0.5331516861915588","0.5798644423484802","","0.5584694743156433","","","","","0.43311668395908465","0.43311668395908465","0.009315959345066686"
"golden-sweep-51","nfabjih4","finished","-","mohkoh","","2023-06-25T00:44:42.000Z","2571","eiatur2m","184.53423","0","2","","","1.5","sinusoidal","0.75","false","similarity","average","knn_10_euclidean","false","cosine","3","0.8","3","2","0","0.001","10","2","0","0","0","0","0","0.8292666077613831","0.820526123046875","0.8400213718414307","0.6547287702560425","","0.635589599609375","0.6547287702560425","","","0.8075069785118103","0.8009374737739563","0.8130676746368408","","","0.5405883193016052","0.5429323315620422","","0.584716260433197","","","","","0.4273188056277965","0.4273188056277965","0.009315959345066686"
"resilient-sweep-50","nfabjih4","finished","-","mohkoh","","2023-06-25T00:01:55.000Z","2569","eiatur2m","184.53423006666665","0","2","","","1.5","sinusoidal","0.5","false","similarity","average","knn_10_euclidean","false","cosine","3","0.8","3","2","0","0.001","10","10","0","0","0","0","0","0.8269451856613159","0.8379681706428528","0.8296644687652588","0.6477698087692261","","0.680712103843689","0.6477698087692261","","","0.8006487488746643","0.80447918176651","0.8062094449996948","","","0.4739545285701752","0.5163617730140686","","0.5339870452880859","","","","","0.441519959205423","0.441519959205423","0.009315959345066686"
