"step","lineKey","lineVal"
"0","client_0","0"
"1","client_0","0.8807267055745867"
"2","client_0","0.9742092832516461"
"3","client_0","0.8656478206716655"
"4","client_0","0.913876866115599"
"5","client_0","0.972565819714221"
"6","client_0","0.9959302255677075"
"7","client_0","0.9999999999999999"
"8","client_0","1"
"9","client_0","1"
"10","client_0","1"
"11","client_0","1"
"12","client_0","1"
"13","client_0","1"
"14","client_0","1"
"15","client_0","1"
"16","client_0","1"
"17","client_0","1"
"18","client_0","1"
"19","client_0","1"
"20","client_0","1"
"21","client_0","1"
"22","client_0","0.9982394672591663"
"23","client_0","1"
"24","client_0","1"
"25","client_0","1"
"26","client_0","1"
"27","client_0","1"
"28","client_0","1"
"29","client_0","1"
"0","client_1","0"
"1","client_1","0.7894807304097153"
"2","client_1","1"
"3","client_1","1"
"4","client_1","1"
"5","client_1","0.9981757855842393"
"6","client_1","0.987295151308731"
"7","client_1","0.9788761588459147"
"8","client_1","0.9513834955271441"
"9","client_1","0.9462922186607308"
"10","client_1","0.9160107426831634"
"11","client_1","0.8785892745722664"
"12","client_1","0.9420356448469298"
"13","client_1","0.9087080715546775"
"14","client_1","0.88145862737297"
"15","client_1","0.912863962805879"
"16","client_1","0.9150931695084713"
"17","client_1","0.9198105881729999"
"18","client_1","0.8985153724319686"
"19","client_1","0.9274554816840154"
"20","client_1","0.9307255721092738"
"21","client_1","0.9056160018815708"
"22","client_1","0.9097405019148534"
"23","client_1","0.9113686206251315"
"24","client_1","0.9208075571497345"
"25","client_1","0.9254362981381621"
"26","client_1","0.9087098142505878"
"27","client_1","0.91024311865806"
"28","client_1","0.9301163421156385"
"29","client_1","0.9403862389818074"
"0","client_2","6.644781772316208e-57"
"1","client_2","0.3533736909942453"
"2","client_2","0.771810443894825"
"3","client_2","0.6937671063119772"
"4","client_2","0.5720894160867263"
"5","client_2","0.5664981261057513"
"6","client_2","0.49891908042864314"
"7","client_2","0.42593153143634227"
"8","client_2","0.4884748189173072"
"9","client_2","0.5259164958213697"
"10","client_2","0.6309184197991647"
"11","client_2","0.6074888839379009"
"12","client_2","0.5376866509273794"
"13","client_2","0.5289059376400013"
"14","client_2","0.6848096414605196"
"15","client_2","0.689732145089103"
"16","client_2","0.6282484970076784"
"17","client_2","0.6385858179703818"
"18","client_2","0.77582809677833"
"19","client_2","0.642832400097732"
"20","client_2","0.7566658785455326"
"21","client_2","0.7786466928158156"
"22","client_2","0.7268561227567887"
"23","client_2","0.7915768129791381"
"24","client_2","0.7456569996679427"
"25","client_2","0.7508673817414834"
"26","client_2","0.6761736932346648"
"27","client_2","0.8159884786826284"
"28","client_2","0.6823352597189235"
"29","client_2","0.6943134991631368"
"0","client_3","0.32109280912493915"
"1","client_3","1"
"2","client_3","0.978795218295741"
"3","client_3","0.9525125481151484"
"4","client_3","0.998580352822443"
"5","client_3","1"
"6","client_3","1"
"7","client_3","1"
"8","client_3","0.9866348611376802"
"9","client_3","0.9814566005562704"
"10","client_3","0.9457548173432759"
"11","client_3","0.9774606259495648"
"12","client_3","0.9724958473538393"
"13","client_3","0.9814414308931282"
"14","client_3","0.9725021299577121"
"15","client_3","0.92606455354472"
"16","client_3","0.9523027448868213"
"17","client_3","0.9281224536621291"
"18","client_3","0.8982125671402627"
"19","client_3","0.9105855966630102"
"20","client_3","0.901236782074857"
"21","client_3","0.9209190382114186"
"22","client_3","0.9261123790806237"
"23","client_3","0.9107305694620096"
"24","client_3","0.9148530296899788"
"25","client_3","0.91732721713925"
"26","client_3","0.9346887661602996"
"27","client_3","0.9160189572257155"
"28","client_3","0.9280929090695565"
"29","client_3","0.9226514930382732"
"0","client_4","0.9999999999999997"
"1","client_4","0.07450817375022742"
"2","client_4","0.20765876012477327"
"3","client_4","0.3190247021194544"
"4","client_4","0.2344268689251041"
"5","client_4","0.37570035023106413"
"6","client_4","0.36686741624221486"
"7","client_4","0.4331491202353108"
"8","client_4","0.4378837340088755"
"9","client_4","0.5833219735147701"
"10","client_4","0.5872016793855088"
"11","client_4","0.6671275167756414"
"12","client_4","0.6686659927247945"
"13","client_4","0.6881297779828994"
"14","client_4","0.8300200087874319"
"15","client_4","0.7923800154286471"
"16","client_4","0.7155980690292719"
"17","client_4","0.8330862615988525"
"18","client_4","0.9209017902374083"
"19","client_4","0.8992058265231238"
"20","client_4","0.8995157818556467"
"21","client_4","0.8836500710291764"
"22","client_4","0.8669533528563982"
"23","client_4","0.9042225333644314"
"24","client_4","0.8595909519140911"
"25","client_4","0.8275473518373108"
"26","client_4","0.8310082290797476"
"27","client_4","0.8917393387673854"
"28","client_4","0.8053316750071171"
"29","client_4","0.8142719255291602"
"0","client_5","0.9688733298313714"
"1","client_5","0.8591896485843377"
"2","client_5","0.6797337334978011"
"3","client_5","0.7960918218555355"
"4","client_5","0.8981462224034532"
"5","client_5","0.8452717387001352"
"6","client_5","0.9219561399095096"
"7","client_5","0.9077401750225528"
"8","client_5","0.9267800067732612"
